Year,Start_day,End_day,ca_ppm,input,water-initial-off,initial,K-plant,K-xylem,water-final,E,ET,Anet,cica,cica-N,Aci,AnetDay,final-off,PLC-sum,PLC-sum-N,PLC-p,PLC-x,water-input,PLC-85
2010,143,279,390,967.767064344001,191.476046493001,190.731829688788,0.722161350644,1.903926316353,188.632468761983,233.601993334258,828.415785978196,11672.619588160685,1292.639056790000,4160,3.318027767013,15403.348898019125,190.731829688788,580182.513850421528,8744,99.238040468185,97.991148690958,776.291017851001,5323
2011,151,271,392,1724.702824892005,0,191.360322772593,0.639344112340,1.663905059367,77.974196541705,276.936287103270,783.680152627642,13083.115357653529,1336.465645299243,4158,3.441602440956,16886.383246745703,191.360322772593,587196.608641591738,8744,99.339278052147,98.280458757388,565.459714055000,5135
2012,137,274,394,1592.962253284001,0,188.227422863355,0.530347446018,1.293387784387,80.007443401735,250.165681199508,615.868231620092,10808.258562741508,1283.014045116657,4168,3.104319345132,15000.538451398807,188.227422863355,605063.097908601630,8768,99.424170344547,98.595692252586,433.719142447001,5562
